book_id,title,author,language,source_url,clean_path,quality_status,reject_reason
61317,Reflections on the painting and sculpture of the Greeks,"Winckelmann, Johann Joachim, 1717-1768; Fuseli, Henry, 1741-1825 [Translator]",en,https://www.gutenberg.org/cache/epub/61317/pg61317.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/61317.txt,accepted,
61348,"Life of Edwin Forrest, the American Tragedian. Volume 1 (of 2)","Alger, William Rounseville, 1822-1905; Alger, Horatio, Jr., 1832-1899",en,https://www.gutenberg.org/cache/epub/61348/pg61348.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/61348.txt,accepted,
61384,Anglo-Saxon Solidarity,"Gibbons, Herbert Adams, 1880-1934",en,https://www.gutenberg.org/cache/epub/61384/pg61384.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/61384.txt,accepted,
61424,The Customs Lounge,"Proulx, Annie, 1935-",en,https://www.gutenberg.org/cache/epub/61424/pg61424.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/61424.txt,accepted,
61536,"The Dark Ages, 476-918","Oman, Charles, 1860-1946",en,https://www.gutenberg.org/cache/epub/61536/pg61536.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/61536.txt,accepted,
61672,Handbook for Light Artillery,"Dyer, A. B. (Alexander Brydie), 1852-1920",en,https://www.gutenberg.org/cache/epub/61672/pg61672.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/61672.txt,accepted,
61861,Old London Street Cries and the Cries of To-day With Heaps of Quaint Cuts Including Hand-coloured Frontispiece,"Tuer, Andrew White, 1838-1900",en,https://www.gutenberg.org/cache/epub/61861/pg61861.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/61861.txt,accepted,
61911,The Oxbow Wizard,"Roberts, Theodore Goodridge, 1877-1953",en,https://www.gutenberg.org/cache/epub/61911/pg61911.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/61911.txt,accepted,
61949,The Impending Sword: A Novel (Vol. 1 of 3),"Yates, Edmund, 1831-1894",en,https://www.gutenberg.org/cache/epub/61949/pg61949.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/61949.txt,accepted,
61952,Spawn of the Venus Sea,"Walton, Harry; Morey, Leo, 1889-1965 [Illustrator]",en,https://www.gutenberg.org/cache/epub/61952/pg61952.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/61952.txt,accepted,
61967,The Star of Satan,"Hasse, Henry, 1913-1977; Bok, Hannes, 1914-1964 [Illustrator]",en,https://www.gutenberg.org/cache/epub/61967/pg61967.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/61967.txt,accepted,
62052,Bailey's Dam,"Smith, Steven D., 1951-; Castille, George J., 1950-",en,https://www.gutenberg.org/cache/epub/62052/pg62052.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/62052.txt,accepted,
62086,Thackeray,"Chesterton, G. K. (Gilbert Keith), 1874-1936; Melville, Lewis, 1874-1932",en,https://www.gutenberg.org/cache/epub/62086/pg62086.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/62086.txt,accepted,
62214,The proposed union of the telegraph and postal systems Statement of the Western Union Telegraph Company,Western Union Telegraph Company,en,https://www.gutenberg.org/cache/epub/62214/pg62214.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/62214.txt,accepted,
62223,"Plain Parochial Sermons, preached in the Parish Church of Bolton-le-Moors","Slade, James, 1783-1860",en,https://www.gutenberg.org/cache/epub/62223/pg62223.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/62223.txt,accepted,
62235,Preserving Louisiana's Legacy: Everyone Can Help,"Hawkins, Nancy W.",en,https://www.gutenberg.org/cache/epub/62235/pg62235.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/62235.txt,accepted,
62287,"The Collector's Guide, No. 17, January 1940 A monthly periodical devoted to first editions, Americana, autographs, old newspapers and magazines, sheet music, playbills, dime novels, current auction prices, etc.","Various; Madison, James, 1870-1943 [Editor]",en,https://www.gutenberg.org/cache/epub/62287/pg62287.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/62287.txt,accepted,
62297,The Patchwork Papers,"Thurston, E. Temple (Ernest Temple), 1879-1933",en,https://www.gutenberg.org/cache/epub/62297/pg62297.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/62297.txt,accepted,
62308,The oak and the briony,Anonymous,en,https://www.gutenberg.org/cache/epub/62308/pg62308.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/62308.txt,accepted,
62448,The Life of David Belasco; Vol. 1,"Winter, William, 1836-1917; Winter, William Jefferson, 1878-1929",en,https://www.gutenberg.org/cache/epub/62448/pg62448.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/62448.txt,accepted,
